date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:55	481/481	---MCZ	200	added ('OK')	text/plain	etag:W/%22d7rupj5i55axw2%22	https://matplotlib.org/robots.txt		(from )
01:30:56	34200/34200	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/index.html	(from )
01:30:56	106/106	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumtab5kq2y%22	https://matplotlib.org/stable/_static/styles/theme.css?digest=dfe6caa3a7d634c4db9b	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/styles/themee6c2.css	(from https://matplotlib.org/stable/)
01:30:56	208742/208742	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt8iur34h2e%22	https://matplotlib.org/stable/_static/styles/bootstrap.css?digest=dfe6caa3a7d634c4db9b	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/styles/bootstrape6c2.css	(from https://matplotlib.org/stable/)
01:30:56	86251/86251	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt9ppyu1ujv%22	https://matplotlib.org/stable/_static/styles/pydata-sphinx-theme.css?digest=dfe6caa3a7d634c4db9b	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/styles/pydata-sphinx-themee6c2.css	(from https://matplotlib.org/stable/)
01:30:56	102989/102989	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumtab5kq27gt%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/css/all.min.css?digest=dfe6caa3a7d634c4db9b	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/css/all.mine6c2.css	(from https://matplotlib.org/stable/)
01:30:57	156400/156400	---M--	200	added ('OK')	font/woff2	etag:%22d83iumtlme4b3cog%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-solid-900.woff2	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-solid-900.woff2	(from https://matplotlib.org/stable/)
01:30:57	117852/117852	---M--	200	added ('OK')	font/woff2	etag:%22d83iumtju3ap2ixo%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-brands-400.woff2	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-brands-400.woff2	(from https://matplotlib.org/stable/)
01:30:57	25392/25392	---M--	200	added ('OK')	font/woff2	etag:%22d83iumtju3apjlc%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-regular-400.woff2	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-regular-400.woff2	(from https://matplotlib.org/stable/)
01:30:57	12755/12755	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt654bl9ub%22	https://matplotlib.org/stable/_static/pygments.css?v=03e43079	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/pygmentsa9e1.css	(from https://matplotlib.org/stable/)
01:30:57	722/722	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumscdfxuk2%22	https://matplotlib.org/stable/_static/css/style.css?v=86e00652	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/css/style5a03.css	(from https://matplotlib.org/stable/)
01:30:58	147/147	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt1dngm43%22	https://matplotlib.org/stable/_static/graphviz.css?v=4ae1632d	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/graphviz5804.css	(from https://matplotlib.org/stable/)
01:30:58	318/318	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt654bl8u%22	https://matplotlib.org/stable/_static/plot_directive.css	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/plot_directive.css	(from https://matplotlib.org/stable/)
01:30:58	2060/2060	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumscdfxu1l8%22	https://matplotlib.org/stable/_static/copybutton.css?v=76b2166b	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/copybutton3129.css	(from https://matplotlib.org/stable/)
01:30:58	9971/9971	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt7xf587oz%22	https://matplotlib.org/stable/_static/sg_gallery.css?v=d2d258e8	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/sg_gallerycf45.css	(from https://matplotlib.org/stable/)
01:30:59	167/167	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt7xf584n%22	https://matplotlib.org/stable/_static/sg_gallery-binder.css?v=f4aeca0c	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/sg_gallery-binderc545.css	(from https://matplotlib.org/stable/)
01:30:59	1152/1152	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt7xf58w0%22	https://matplotlib.org/stable/_static/sg_gallery-dataframe.css?v=2082cf3c	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/sg_gallery-dataframeaa3e.css	(from https://matplotlib.org/stable/)
01:30:59	4330/4330	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt7xf583ca%22	https://matplotlib.org/stable/_static/sg_gallery-rendered-html.css?v=1277b6f3	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/sg_gallery-rendered-html5e57.css	(from https://matplotlib.org/stable/)
01:30:59	49351/49351	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt7xf58122v%22	https://matplotlib.org/stable/_static/sphinx-design.min.css?v=95c83b7e	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/sphinx-design.min7991.css	(from https://matplotlib.org/stable/)
01:30:59	4522/4522	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iumt5jopq3hm%22	https://matplotlib.org/stable/_static/mpl.css?v=5448041c	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/mpl855f.css	(from https://matplotlib.org/stable/)
01:31:00	81704/81704	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumt6qjxh1r1k%22	https://matplotlib.org/stable/_static/scripts/bootstrap.js?digest=dfe6caa3a7d634c4db9b	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/scripts/bootstrape6c2.js	(from https://matplotlib.org/stable/)
01:31:00	10910/10910	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumt7bzjc8f2%22	https://matplotlib.org/stable/_static/scripts/pydata-sphinx-theme.js?digest=dfe6caa3a7d634c4db9b	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/scripts/pydata-sphinx-themee6c2.js	(from https://matplotlib.org/stable/)
01:31:00	329/329	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumscdfxu95%22	https://matplotlib.org/stable/_static/documentation_options.js?v=5ca81ab5	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/documentation_optionsc4f3.js	(from https://matplotlib.org/stable/)
01:31:01	1489215/1489215	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumthgcv7vx33%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/js/all.min.js?digest=dfe6caa3a7d634c4db9b	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/js/all.mine6c2.js	(from https://matplotlib.org/stable/)
01:31:01	4322/4322	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumscdfxu3c2%22	https://matplotlib.org/stable/_static/doctools.js?v=9bcbadda	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/doctoolsb5e9.js	(from https://matplotlib.org/stable/)
01:31:02	5123/5123	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumt7xf583yb%22	https://matplotlib.org/stable/_static/sphinx_highlight.js?v=dc90522c	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/sphinx_highlight7f57.js	(from https://matplotlib.org/stable/)
01:31:02	9031/9031	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iums9zpic6yv%22	https://matplotlib.org/stable/_static/clipboard.min.js?v=a7894cd8	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/clipboard.min4664.js	(from https://matplotlib.org/stable/)
01:31:02	8481/8481	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumscdfxu6jl%22	https://matplotlib.org/stable/_static/copybutton.js?v=ccdb6887	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/copybutton88ca.js	(from https://matplotlib.org/stable/)
01:31:03	2780/2780	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d83iumscdfxu258%22	https://matplotlib.org/stable/_static/design-tabs.js?v=f930bc37	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/design-tabs62df.js	(from https://matplotlib.org/stable/)
